epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3103.55,0.69479,0.49594,1.63763,0.79627,0.6739,0.75086,0.56201,1.01483,1.153,2.11355,0.0014852,0.0014852,0.0014852
67,3151.5,0.65868,0.48074,1.63757,0.82657,0.76697,0.8089,0.61569,0.95126,1.07236,2.02461,0.00147728,0.00147728,0.00147728
68,3198.15,0.65079,0.4618,1.61869,0.75595,0.7477,0.7675,0.57293,0.95236,1.04413,2.02219,0.00146936,0.00146936,0.00146936
69,3244.98,0.66322,0.4768,1.57686,0.73011,0.7931,0.78826,0.58135,0.96846,0.87145,1.98946,0.00146144,0.00146144,0.00146144
70,3292.92,0.67396,0.483,1.62269,0.77493,0.75862,0.76178,0.55908,0.97725,0.97788,2.10745,0.00145352,0.00145352,0.00145352
71,3340.01,0.64934,0.4669,1.58841,0.70636,0.78161,0.6694,0.49163,1.0669,1.20475,2.2158,0.0014456,0.0014456,0.0014456
72,3386.9,0.63968,0.47581,1.57153,0.70469,0.68966,0.69726,0.50226,1.08,1.46566,2.19299,0.00143768,0.00143768,0.00143768
73,3434.01,0.6418,0.46417,1.55585,0.69893,0.74713,0.74311,0.53362,1.0455,1.34327,2.09651,0.00142976,0.00142976,0.00142976
74,3481.56,0.66134,0.49298,1.61614,0.7172,0.69963,0.71407,0.5231,1.03401,1.24599,2.10203,0.00142184,0.00142184,0.00142184
75,3529.21,0.603,0.44669,1.54404,0.68958,0.70115,0.5993,0.42036,1.05316,1.38808,2.11257,0.00141392,0.00141392,0.00141392
76,3577.49,0.63991,0.47019,1.62964,0.71639,0.73563,0.71024,0.49702,1.01818,1.31263,2.05715,0.001406,0.001406,0.001406
77,3625.09,0.65119,0.46843,1.60314,0.83818,0.65517,0.77985,0.56021,0.98635,1.10826,2.06693,0.00139808,0.00139808,0.00139808
78,3671.98,0.64975,0.46657,1.56273,0.71836,0.71264,0.74862,0.53649,1.03126,1.27465,2.33328,0.00139016,0.00139016,0.00139016
79,3718.93,0.63352,0.45947,1.57689,0.85407,0.66667,0.74802,0.54792,1.05662,1.20111,2.28519,0.00138224,0.00138224,0.00138224
80,3766.71,0.63423,0.46403,1.52751,0.77748,0.72292,0.75207,0.53711,0.98798,1.15949,2.12974,0.00137432,0.00137432,0.00137432
81,3813.74,0.6433,0.46971,1.58256,0.71766,0.75964,0.75326,0.53112,1.02377,1.23028,2.09898,0.0013664,0.0013664,0.0013664
82,3860.99,0.61864,0.44565,1.53787,0.74283,0.78161,0.77213,0.57613,0.93067,1.04548,2.03826,0.00135848,0.00135848,0.00135848
83,3908.7,0.6442,0.47068,1.58326,0.76527,0.74949,0.76076,0.53579,1.02372,1.14097,2.05248,0.00135056,0.00135056,0.00135056
84,3955.99,0.63294,0.45778,1.54724,0.72162,0.73563,0.7074,0.52825,0.98312,1.17969,2.09887,0.00134264,0.00134264,0.00134264
85,4003.47,0.64288,0.46088,1.5731,0.69398,0.77011,0.74604,0.53908,1.02016,1.20393,2.11064,0.00133472,0.00133472,0.00133472
86,4050.84,0.63253,0.45504,1.58281,0.79649,0.66667,0.73159,0.5151,1.03762,1.28077,2.13695,0.0013268,0.0013268,0.0013268
87,4098.15,0.60871,0.44224,1.52853,0.85974,0.71264,0.78603,0.56064,1.04111,1.06789,2.32378,0.00131888,0.00131888,0.00131888
88,4145.65,0.61699,0.44293,1.5392,0.66267,0.79032,0.74448,0.52566,1.05088,1.11298,2.26323,0.00131096,0.00131096,0.00131096
89,4193.08,0.61456,0.45655,1.53561,0.73217,0.70115,0.68161,0.49009,0.98375,1.17645,2.04522,0.00130304,0.00130304,0.00130304
90,4240.7,0.59042,0.44616,1.55458,0.7713,0.71264,0.70348,0.50078,1.08171,1.18807,2.22758,0.00129512,0.00129512,0.00129512
91,4288.12,0.59717,0.42901,1.50657,0.70556,0.68859,0.68091,0.5084,1.00394,1.18132,2.14151,0.0012872,0.0012872,0.0012872
92,4336.03,0.58598,0.42729,1.48252,0.65807,0.68581,0.65443,0.4696,1.04008,1.31321,2.26043,0.00127928,0.00127928,0.00127928
93,4385.77,0.60596,0.43597,1.55917,0.63886,0.74713,0.6617,0.44405,1.04239,1.25977,2.10704,0.00127136,0.00127136,0.00127136
94,4434.35,0.60819,0.45473,1.51154,0.71411,0.71264,0.70722,0.4863,1.02416,1.37272,2.12525,0.00126344,0.00126344,0.00126344
95,4483.06,0.58465,0.42268,1.52119,0.64082,0.78161,0.70898,0.51893,0.95482,1.30971,2.07867,0.00125552,0.00125552,0.00125552
